Tube;TubeVide;MasseSeche
48;N         :    +   1.3144 g;
;Date 15.07.2022  Heure 13:20:13;Date 08.08.2022  Heure 12:52:53
49;N         :    +   1.3230 g;N         :    +   1.3385 g
;Date 15.07.2022  Heure 13:20:23;Date 08.08.2022  Heure 12:53:09
50;N         :    +   1.3194 g;N         :    +   1.3325 g
;Date 15.07.2022  Heure 13:20:50;Date 08.08.2022  Heure 12:53:35
51;N         :    +   1.3181 g;N         :    +   1.3324 g
;Date 15.07.2022  Heure 13:21:00;Date 08.08.2022  Heure 12:53:51
52;N         :    +   1.3292 g;N         :    +   1.3482 g
;Date 15.07.2022  Heure 13:21:08;Date 08.08.2022  Heure 12:54:06
53;N         :    +   1.3217 g;N         :    +   1.3445 g
;Date 15.07.2022  Heure 13:21:17;Date 08.08.2022  Heure 12:54:18
54;N         :    +   1.3310 g;N         :    +   1.3546 g
;Date 15.07.2022  Heure 13:21:30;Date 08.08.2022  Heure 12:54:33
55;N         :    +   1.3173 g;N         :    +   1.3253 g
;Date 15.07.2022  Heure 13:21:40;Date 08.08.2022  Heure 12:54:47
56;N         :    +   1.3215 g;N         :    +   1.3303 g
;Date 15.07.2022  Heure 13:21:50;Date 08.08.2022  Heure 12:54:59
57;N         :    +   1.3252 g;N         :    +   1.3371 g
;Date 15.07.2022  Heure 13:22:01;Date 08.08.2022  Heure 12:55:14
58;N         :    +   1.3284 g;N         :    +   1.3398 g
;Date 15.07.2022  Heure 13:22:11;Date 08.08.2022  Heure 12:55:26
59;N         :    +   1.3177 g;N         :    +   1.3269 g
;Date 15.07.2022  Heure 13:22:20;Date 08.08.2022  Heure 12:55:38
60;N         :    +   1.3184 g;N         :    +   1.3286 g
;Date 15.07.2022  Heure 13:22:31;Date 08.08.2022  Heure 12:55:55
61;N         :    +   1.3288 g;N         :    +   1.3409 g
;Date 15.07.2022  Heure 13:22:43;Date 08.08.2022  Heure 13:14:54
62;N         :    +   1.3222 g;N         :    +   1.3324 g
;Date 15.07.2022  Heure 13:22:52;Date 08.08.2022  Heure 13:15:06
63;N         :    +   1.3191 g;N         :    +   1.3341 g
;Date 15.07.2022  Heure 13:23:06;Date 08.08.2022  Heure 13:15:20
64;N         :    +   1.3215 g;N         :    +   1.3338 g
;Date 15.07.2022  Heure 13:23:17;Date 08.08.2022  Heure 13:15:33
65;N         :    +   1.3204 g;N         :    +   1.3289 g
;Date 15.07.2022  Heure 13:23:27;Date 08.08.2022  Heure 13:15:46
66;N         :    +   1.3246 g;N         :    +   1.3388 g
;Date 15.07.2022  Heure 13:23:38;Date 08.08.2022  Heure 13:16:01
67;N         :    +   1.3197 g;N         :    +   1.3293 g
;Date 15.07.2022  Heure 13:23:54;Date 08.08.2022  Heure 13:16:12
68;N         :    +   1.3240 g;N         :    +   1.3325 g
;Date 15.07.2022  Heure 13:24:07;Date 08.08.2022  Heure 13:21:15
69;N         :    +   1.3205 g;N         :    +   1.3319 g
;Date 15.07.2022  Heure 13:24:18;Date 08.08.2022  Heure 13:16:42
70;N         :    +   1.3233 g;N         :    +   1.3322 g
;Date 15.07.2022  Heure 13:24:28;Date 08.08.2022  Heure 13:16:54
71;N         :    +   1.3200 g;N         :    +   1.3297 g
;Date 15.07.2022  Heure 13:24:39;Date 08.08.2022  Heure 13:21:55
72;N         :    +   1.3184 g;N         :    +   1.3267 g
;Date 15.07.2022  Heure 13:24:47;Date 08.08.2022  Heure 13:22:10
73;N         :    +   1.3226 g;N         :    +   1.3350 g
;Date 15.07.2022  Heure 13:24:57;Date 08.08.2022  Heure 13:22:22
74;N         :    +   1.3186 g;N         :    +   1.3260 g
;Date 15.07.2022  Heure 13:25:07;Date 08.08.2022  Heure 13:22:33
75;N         :    +   1.3158 g;N         :    +   1.3241 g
;Date 15.07.2022  Heure 13:25:16;Date 08.08.2022  Heure 13:22:42
76;N         :    +   1.3244 g;N         :    +   1.3355 g
;Date 15.07.2022  Heure 13:25:28;Date 08.08.2022  Heure 13:22:56
77;N         :    +   1.3209 g;N         :    +   1.3271 g
;Date 15.07.2022  Heure 13:25:37;Date 08.08.2022  Heure 13:23:07
78;N         :    +   1.3137 g;N         :    +   1.3238 g
;Date 15.07.2022  Heure 13:25:50;Date 08.08.2022  Heure 13:23:18
79;N         :    +   1.3211 g;N         :    +   1.3273 g
;Date 15.07.2022  Heure 13:26:02;Date 08.08.2022  Heure 13:23:31
80;N         :    +   1.3301 g;N         :    +   1.3395 g
;Date 15.07.2022  Heure 13:26:12;Date 08.08.2022  Heure 13:23:42
81;N         :    +   1.3254 g;N         :    +   1.3436 g
;Date 15.07.2022  Heure 13:26:19;Date 08.08.2022  Heure 13:23:54
82;N         :    +   1.3178 g;N         :    +   1.3303 g
;Date 15.07.2022  Heure 13:26:29;
83;N         :    +   1.3268 g;
;Date 15.07.2022  Heure 13:26:38;Date 08.08.2022  Heure 13:24:10
84;N         :    +   1.3260 g;N         :    +   1.3352 g
;Date 15.07.2022  Heure 13:26:48;Date 08.08.2022  Heure 13:24:21
85;N         :    +   1.3178 g;N         :    +   1.3290 g
;Date 15.07.2022  Heure 13:26:58;Date 08.08.2022  Heure 13:24:34
86;N         :    +   1.3215 g;N         :    +   1.3326 g
;Date 15.07.2022  Heure 13:27:06;Date 08.08.2022  Heure 13:24:48
87;N         :    +   1.3241 g;N         :    +   1.3446 g
