ID;Tube_vide;Tube_masse_fraiche;Tube_masse_seche
140;Date 24.02.2022  Heure 14:56:24;Date 25.02.2022  Heure 15:45:54;Date 02.03.2022  Heure 13:29:21
140;N         :    +   1.3010 g;N         :    +   1.5772 g;N         :    +   1.3253 g
141;Date 24.02.2022  Heure 14:56:36;Date 25.02.2022  Heure 15:46:05;Date 02.03.2022  Heure 13:29:33
141;N         :    +   1.3123 g;N         :    +   1.4949 g;N         :    +   1.3283 g
142;Date 24.02.2022  Heure 14:56:49;Date 25.02.2022  Heure 15:46:14;Date 02.03.2022  Heure 13:29:48
142;N         :    +   1.3054 g;N         :    +   1.5319 g;N         :    +   1.3248 g
143;Date 24.02.2022  Heure 14:56:58;Date 25.02.2022  Heure 15:46:24;Date 02.03.2022  Heure 13:29:59
143;N         :    +   1.3007 g;N         :    +   1.5875 g;N         :    +   1.3270 g
144;Date 24.02.2022  Heure 14:57:07;Date 25.02.2022  Heure 15:46:38;Date 02.03.2022  Heure 13:30:10
144;N         :    +   1.3043 g;N         :    +   1.5904 g;N         :    +   1.3300 g
145;Date 24.02.2022  Heure 14:57:35;Date 25.02.2022  Heure 15:47:53;Date 02.03.2022  Heure 13:30:38
145;N         :    +   1.2991 g;N         :    +   1.5315 g;N         :    +   1.3205 g
146;Date 24.02.2022  Heure 14:57:43;Date 25.02.2022  Heure 15:48:01;Date 02.03.2022  Heure 13:30:53
146;N         :    +   1.3065 g;N         :    +   1.5217 g;N         :    +   1.3263 g
147;Date 24.02.2022  Heure 14:57:52;Date 25.02.2022  Heure 15:48:13;Date 02.03.2022  Heure 13:31:31
147;N         :    +   1.3081 g;N         :    +   1.5300 g;N         :    +   1.3278 g
148;Date 24.02.2022  Heure 14:58:07;Date 25.02.2022  Heure 15:48:23;Date 02.03.2022  Heure 13:31:43
148;N         :    +   1.3006 g;N         :    +   1.5647 g;N         :    +   1.3237 g
149;Date 24.02.2022  Heure 14:58:19;Date 25.02.2022  Heure 15:48:34;Date 02.03.2022  Heure 13:32:04
149;N         :    +   1.3080 g;N         :    +   1.4452 g;N         :    +   1.3201 g
150;Date 24.02.2022  Heure 14:58:29;Date 25.02.2022  Heure 15:48:43;Date 02.03.2022  Heure 13:32:21
150;N         :    +   1.3069 g;N         :    +   1.5943 g;N         :    +   1.3323 g
151;Date 24.02.2022  Heure 14:59:55;Date 25.02.2022  Heure 15:48:53;Date 02.03.2022  Heure 13:32:35
151;N         :    +   1.3013 g;N         :    +   1.5765 g;N         :    +   1.3256 g
152;Date 24.02.2022  Heure 15:00:04;Date 25.02.2022  Heure 15:49:01;Date 02.03.2022  Heure 13:32:58
152;N         :    +   1.3117 g;N         :    +   1.5238 g;N         :    +   1.3305 g
153;Date 24.02.2022  Heure 15:00:12;Date 25.02.2022  Heure 15:49:10;Date 02.03.2022  Heure 13:33:11
153;N         :    +   1.3066 g;N         :    +   1.4674 g;N         :    +   1.3206 g
154;Date 24.02.2022  Heure 15:00:22;Date 25.02.2022  Heure 15:49:19;Date 02.03.2022  Heure 13:33:24
154;N         :    +   1.3096 g;N         :    +   1.4652 g;N         :    +   1.3225 g
155;Date 24.02.2022  Heure 15:00:30;Date 25.02.2022  Heure 15:49:34;Date 02.03.2022  Heure 13:33:48
155;N         :    +   1.3073 g;N         :    +   1.5197 g;N         :    +   1.3258 g
156;Date 24.02.2022  Heure 15:00:38;Date 25.02.2022  Heure 15:49:43;Date 02.03.2022  Heure 13:34:05
156;N         :    +   1.3085 g;N         :    +   1.5245 g;N         :    +   1.3286 g
157;Date 24.02.2022  Heure 15:00:47;Date 25.02.2022  Heure 15:49:52;Date 02.03.2022  Heure 13:34:40
157;N         :    +   1.3090 g;N         :    +   1.5447 g;N         :    +   1.3310 g
158;Date 24.02.2022  Heure 15:00:57;Date 25.02.2022  Heure 15:50:00;Date 02.03.2022  Heure 13:35:00
158;N         :    +   1.3138 g;N         :    +   1.5690 g;N         :    +   1.3366 g
159;Date 24.02.2022  Heure 15:01:10;Date 25.02.2022  Heure 15:50:09;Date 02.03.2022  Heure 13:35:17
159;N         :    +   1.3096 g;N         :    +   1.5231 g;N         :    +   1.3294 g
160;Date 24.02.2022  Heure 15:01:27;Date 25.02.2022  Heure 15:50:22;Date 02.03.2022  Heure 13:35:34
160;N         :    +   1.2971 g;N         :    +   1.4459 g;N         :    +   1.3108 g
161;Date 24.02.2022  Heure 15:01:43;Date 25.02.2022  Heure 15:50:30;Date 02.03.2022  Heure 13:35:48
161;N         :    +   1.3017 g;N         :    +   1.5366 g;N         :    +   1.3219 g
162;Date 24.02.2022  Heure 15:01:56;Date 25.02.2022  Heure 15:51:07;Date 02.03.2022  Heure 13:35:59
162;N         :    +   1.3083 g;N         :    +   1.5590 g;N         :    +   1.3312 g
163;Date 24.02.2022  Heure 15:02:05;Date 25.02.2022  Heure 15:51:18;Date 02.03.2022  Heure 13:36:28
163;N         :    +   1.3013 g;N         :    +   1.5813 g;N         :    +   1.3260 g
164;Date 24.02.2022  Heure 15:02:15;Date 25.02.2022  Heure 15:51:27;Date 02.03.2022  Heure 13:36:50
164;N         :    +   1.3060 g;N         :    +   1.5457 g;N         :    +   1.3274 g
165;Date 24.02.2022  Heure 15:02:24;Date 25.02.2022  Heure 15:51:38;Date 02.03.2022  Heure 13:37:02
165;N         :    +   1.3076 g;N         :    +   1.5935 g;N         :    +   1.3333 g
166;Date 24.02.2022  Heure 15:02:34;Date 25.02.2022  Heure 15:51:48;Date 02.03.2022  Heure 13:37:11
166;N         :    +   1.3066 g;N         :    +   1.5238 g;N         :    +   1.3262 g
167;Date 24.02.2022  Heure 15:02:45;Date 25.02.2022  Heure 15:52:00;Date 02.03.2022  Heure 13:37:20
167;N         :    +   1.3124 g;N         :    +   1.5817 g;N         :    +   1.3361 g
168;Date 24.02.2022  Heure 15:02:56;Date 25.02.2022  Heure 15:52:11;Date 02.03.2022  Heure 13:37:30
168;N         :    +   1.3090 g;N         :    +   1.5949 g;N         :    +   1.3348 g
169;Date 24.02.2022  Heure 15:03:09;Date 25.02.2022  Heure 15:53:00;Date 02.03.2022  Heure 13:37:40
169;N         :    +   1.3006 g;N         :    +   1.4764 g;N         :    +   1.3159 g
170;Date 24.02.2022  Heure 15:03:18;Date 25.02.2022  Heure 15:53:09;Date 02.03.2022  Heure 13:37:49
170;N         :    +   1.3079 g;N         :    +   1.5440 g;N         :    +   1.3279 g
171;Date 24.02.2022  Heure 15:03:30;Date 25.02.2022  Heure 15:53:18;Date 02.03.2022  Heure 13:37:58
171;N         :    +   1.2977 g;N         :    +   1.5472 g;N         :    +   1.3189 g
172;Date 24.02.2022  Heure 15:03:39;NA;NA
172;N         :    +   1.3092 g;NA;NA
173;Date 24.02.2022  Heure 15:03:47;Date 25.02.2022  Heure 15:53:46;Date 02.03.2022  Heure 13:38:35
173;N         :    +   1.2976 g;N         :    +   1.5559 g;N         :    +   1.3202 g
174;Date 24.02.2022  Heure 15:04:07;Date 25.02.2022  Heure 15:53:57;Date 02.03.2022  Heure 13:38:51
174;N         :    +   1.3139 g;N         :    +   1.5131 g;N         :    +   1.3315 g
175;Date 24.02.2022  Heure 15:04:25;Date 25.02.2022  Heure 15:54:06;Date 02.03.2022  Heure 13:39:03
175;N         :    +   1.3145 g;N         :    +   1.5170 g;N         :    +   1.3313 g
176;Date 24.02.2022  Heure 15:04:42;Date 25.02.2022  Heure 15:54:18;Date 02.03.2022  Heure 13:39:13
176;N         :    +   1.3072 g;N         :    +   1.5405 g;N         :    +   1.3273 g
177;Date 24.02.2022  Heure 15:04:59;NA;NA
177;N         :    +   1.3063 g;NA;NA
178;Date 24.02.2022  Heure 15:05:08;Date 25.02.2022  Heure 15:54:36;Date 02.03.2022  Heure 13:39:32
178;N         :    +   1.3122 g;N         :    +   1.5927 g;N         :    +   1.3356 g
179;Date 24.02.2022  Heure 15:05:17;Date 25.02.2022  Heure 15:54:46;Date 02.03.2022  Heure 13:39:57
179;N         :    +   1.3070 g;N         :    +   1.5271 g;N         :    +   1.3257 g
180;Date 24.02.2022  Heure 15:05:36;Date 25.02.2022  Heure 15:55:00;Date 02.03.2022  Heure 13:40:09
180;N         :    +   1.3033 g;N         :    +   1.4892 g;N         :    +   1.3197 g
181;Date 24.02.2022  Heure 15:05:50;Date 25.02.2022  Heure 15:55:10;Date 02.03.2022  Heure 13:40:55
181;N         :    +   1.3077 g;N         :    +   1.5526 g;N         :    +   1.3304 g
182;Date 24.02.2022  Heure 15:05:58;Date 25.02.2022  Heure 15:55:19;Date 02.03.2022  Heure 13:41:04
182;N         :    +   1.3085 g;N         :    +   1.5623 g;N         :    +   1.3318 g
183;Date 24.02.2022  Heure 15:06:06;Date 25.02.2022  Heure 15:55:28;Date 02.03.2022  Heure 13:41:14
183;N         :    +   1.3029 g;N         :    +   1.5037 g;N         :    +   1.3208 g
184;Date 24.02.2022  Heure 15:06:18;Date 25.02.2022  Heure 15:55:39;Date 02.03.2022  Heure 13:41:25
184;N         :    +   1.3071 g;N         :    +   1.4750 g;N         :    +   1.3222 g
185;Date 24.02.2022  Heure 15:06:31;Date 25.02.2022  Heure 15:55:53;Date 02.03.2022  Heure 13:41:35
185;N         :    +   1.3000 g;N         :    +   1.4177 g;N         :    +   1.3095 g
186;Date 24.02.2022  Heure 15:06:44;Date 25.02.2022  Heure 15:56:04;Date 02.03.2022  Heure 13:41:45
186;N         :    +   1.3064 g;N         :    +   1.5492 g;N         :    +   1.3281 g
187;Date 24.02.2022  Heure 15:06:55;Date 25.02.2022  Heure 15:56:17;Date 02.03.2022  Heure 13:41:59
187;N         :    +   1.3066 g;N         :    +   1.5978 g;N         :    +   1.3324 g
188;Date 24.02.2022  Heure 15:07:04;Date 25.02.2022  Heure 15:56:28;Date 02.03.2022  Heure 13:42:12
188;N         :    +   1.3069 g;N         :    +   1.6043 g;N         :    +   1.3322 g
189;Date 24.02.2022  Heure 15:07:18;Date 25.02.2022  Heure 15:56:37;Date 02.03.2022  Heure 13:42:27
189;N         :    +   1.3094 g;N         :    +   1.5819 g;N         :    +   1.3342 g
190;Date 24.02.2022  Heure 15:07:27;Date 25.02.2022  Heure 15:56:50;Date 02.03.2022  Heure 13:42:44
190;N         :    +   1.3059 g;N         :    +   1.6377 g;N         :    +   1.3344 g
191;Date 24.02.2022  Heure 15:07:40;Date 25.02.2022  Heure 15:57:00;Date 02.03.2022  Heure 13:43:00
191;N         :    +   1.2986 g;N         :    +   1.5826 g;N         :    +   1.3228 g
192;Date 24.02.2022  Heure 15:07:51;Date 25.02.2022  Heure 15:57:11;Date 02.03.2022  Heure 13:43:18
192;N         :    +   1.3081 g;N         :    +   1.5983 g;N         :    +   1.3340 g
193;Date 24.02.2022  Heure 15:08:16;Date 25.02.2022  Heure 15:57:37;Date 02.03.2022  Heure 13:44:13
193;N         :    +   1.3138 g;N         :    +   1.5137 g;N         :    +   1.3318 g
194;Date 24.02.2022  Heure 15:08:27;Date 25.02.2022  Heure 15:57:49;Date 02.03.2022  Heure 13:44:26
194;N         :    +   1.3042 g;N         :    +   1.5687 g;N         :    +   1.3260 g
195;Date 24.02.2022  Heure 15:08:38;Date 25.02.2022  Heure 15:57:59;Date 02.03.2022  Heure 13:44:51
195;N         :    +   1.3085 g;N         :    +   1.4905 g;N         :    +   1.3245 g
196;Date 24.02.2022  Heure 15:08:45;Date 25.02.2022  Heure 15:58:12;Date 02.03.2022  Heure 13:45:02
196;N         :    +   1.3078 g;N         :    +   1.5376 g;N         :    +   1.3283 g
197;Date 24.02.2022  Heure 15:08:58;Date 25.02.2022  Heure 15:58:21;Date 02.03.2022  Heure 13:45:39
197;N         :    +   1.3084 g;N         :    +   1.4646 g;N         :    +   1.3223 g
198;Date 24.02.2022  Heure 15:09:05;Date 25.02.2022  Heure 15:58:36;Date 02.03.2022  Heure 13:46:14
198;N         :    +   1.3067 g;N         :    +   1.5710 g;N         :    +   1.3296 g
199;Date 24.02.2022  Heure 15:09:14;Date 25.02.2022  Heure 15:58:52;Date 02.03.2022  Heure 13:46:24
199;N         :    +   1.3078 g;N         :    +   1.5206 g;N         :    +   1.3246 g
200;Date 24.02.2022  Heure 15:09:21;Date 25.02.2022  Heure 15:59:04;Date 02.03.2022  Heure 13:46:37
200;N         :    +   1.3085 g;N         :    +   1.4273 g;N         :    +   1.3180 g
201;Date 24.02.2022  Heure 15:09:30;Date 25.02.2022  Heure 15:59:14;Date 02.03.2022  Heure 13:46:47
201;N         :    +   1.3000 g;N         :    +   1.4383 g;N         :    +   1.3124 g
202;Date 24.02.2022  Heure 15:09:39;Date 25.02.2022  Heure 15:59:25;Date 02.03.2022  Heure 13:46:57
202;N         :    +   1.3130 g;N         :    +   1.5753 g;N         :    +   1.3337 g
203;Date 24.02.2022  Heure 15:09:50;Date 25.02.2022  Heure 15:59:39;Date 02.03.2022  Heure 13:47:07
203;N         :    +   1.3011 g;N         :    +   1.5438 g;N         :    +   1.3215 g
204;Date 24.02.2022  Heure 15:09:59;Date 25.02.2022  Heure 15:59:51;Date 02.03.2022  Heure 13:47:17
204;N         :    +   1.3046 g;N         :    +   1.5577 g;N         :    +   1.3257 g
205;Date 24.02.2022  Heure 15:10:07;Date 25.02.2022  Heure 16:00:26;Date 02.03.2022  Heure 13:47:27
205;N         :    +   1.3088 g;N         :    +   1.4577 g;N         :    +   1.3223 g
206;Date 24.02.2022  Heure 15:10:20;Date 25.02.2022  Heure 16:00:38;Date 02.03.2022  Heure 13:47:39
206;N         :    +   1.2989 g;N         :    +   1.5315 g;N         :    +   1.3190 g
207;Date 24.02.2022  Heure 15:10:29;Date 25.02.2022  Heure 16:00:47;Date 02.03.2022  Heure 13:47:48
207;N         :    +   1.3075 g;N         :    +   1.4625 g;N         :    +   1.3213 g
208;Date 24.02.2022  Heure 15:10:39;Date 25.02.2022  Heure 16:00:58;Date 02.03.2022  Heure 13:47:56
208;N         :    +   1.3065 g;N         :    +   1.5362 g;N         :    +   1.3267 g
209;Date 24.02.2022  Heure 15:10:48;Date 25.02.2022  Heure 16:01:08;Date 02.03.2022  Heure 13:48:05
209;N         :    +   1.3080 g;N         :    +   1.5270 g;N         :    +   1.3267 g
210;Date 24.02.2022  Heure 15:10:56;Date 25.02.2022  Heure 16:01:52;Date 02.03.2022  Heure 13:48:14
210;N         :    +   1.3090 g;N         :    +   1.5996 g;N         :    +   1.3344 g
211;Date 24.02.2022  Heure 15:11:04;Date 25.02.2022  Heure 16:02:02;Date 02.03.2022  Heure 13:48:24
211;N         :    +   1.3075 g;N         :    +   1.4661 g;N         :    +   1.3209 g
212;Date 24.02.2022  Heure 15:11:14;Date 25.02.2022  Heure 16:02:13;Date 02.03.2022  Heure 13:48:34
212;N         :    +   1.3040 g;N         :    +   1.4800 g;N         :    +   1.3195 g
213;Date 24.02.2022  Heure 15:11:22;Date 25.02.2022  Heure 16:02:26;Date 02.03.2022  Heure 13:48:43
213;N         :    +   1.3038 g;N         :    +   1.5693 g;N         :    +   1.3276 g
214;Date 24.02.2022  Heure 15:11:34;Date 25.02.2022  Heure 16:02:36;Date 02.03.2022  Heure 13:48:53
214;N         :    +   1.3007 g;N         :    +   1.5745 g;N         :    +   1.3248 g
215;Date 24.02.2022  Heure 15:11:47;Date 25.02.2022  Heure 16:02:49;Date 02.03.2022  Heure 13:49:03
215;N         :    +   1.3143 g;N         :    +   1.5558 g;N         :    +   1.3357 g
216;Date 24.02.2022  Heure 15:11:59;Date 25.02.2022  Heure 16:03:00;Date 02.03.2022  Heure 13:49:13
216;N         :    +   1.3122 g;N         :    +   1.5679 g;N         :    +   1.3354 g
217;Date 24.02.2022  Heure 15:12:11;Date 25.02.2022  Heure 16:03:13;Date 02.03.2022  Heure 13:49:21
217;N         :    +   1.3079 g;N         :    +   1.4717 g;N         :    +   1.3228 g
218;Date 24.02.2022  Heure 15:12:22;Date 25.02.2022  Heure 16:03:23;Date 02.03.2022  Heure 13:49:30
218;N         :    +   1.3048 g;N         :    +   1.5414 g;N         :    +   1.3256 g
219;Date 24.02.2022  Heure 15:12:31;Date 25.02.2022  Heure 16:03:38;Date 02.03.2022  Heure 13:49:40
219;N         :    +   1.3034 g;N         :    +   1.5525 g;N         :    +   1.3251 g
220;Date 24.02.2022  Heure 15:12:40;Date 25.02.2022  Heure 16:03:48;Date 02.03.2022  Heure 13:49:50
220;N         :    +   1.2999 g;N         :    +   1.5350 g;N         :    +   1.3213 g
221;Date 24.02.2022  Heure 15:12:49;Date 25.02.2022  Heure 16:03:58;Date 02.03.2022  Heure 13:49:58
221;N         :    +   1.3073 g;N         :    +   1.4028 g;N         :    +   1.3158 g
222;Date 24.02.2022  Heure 15:12:58;Date 25.02.2022  Heure 16:04:11;Date 02.03.2022  Heure 13:50:08
222;N         :    +   1.3043 g;N         :    +   1.4357 g;N         :    +   1.3153 g
223;Date 24.02.2022  Heure 15:13:08;Date 25.02.2022  Heure 16:04:23;Date 02.03.2022  Heure 13:50:17
223;N         :    +   1.3079 g;N         :    +   1.5275 g;N         :    +   1.3268 g
224;Date 24.02.2022  Heure 15:13:17;Date 25.02.2022  Heure 16:04:32;Date 02.03.2022  Heure 13:50:26
224;N         :    +   1.3079 g;N         :    +   1.5739 g;N         :    +   1.3312 g
225;Date 24.02.2022  Heure 15:13:27;Date 25.02.2022  Heure 16:04:44;Date 02.03.2022  Heure 13:50:37
225;N         :    +   1.3042 g;N         :    +   1.5179 g;N         :    +   1.3251 g
226;Date 24.02.2022  Heure 15:13:37;Date 25.02.2022  Heure 16:04:53;Date 02.03.2022  Heure 13:50:46
226;N         :    +   1.3007 g;N         :    +   1.5577 g;N         :    +   1.3235 g
227;Date 24.02.2022  Heure 15:13:47;Date 25.02.2022  Heure 16:05:03;Date 02.03.2022  Heure 13:50:55
227;N         :    +   1.2981 g;N         :    +   1.5001 g;N         :    +   1.3164 g
228;Date 24.02.2022  Heure 15:13:57;Date 25.02.2022  Heure 16:05:12;Date 02.03.2022  Heure 13:51:07
228;N         :    +   1.3065 g;N         :    +   1.5072 g;N         :    +   1.3239 g
229;Date 24.02.2022  Heure 15:14:06;Date 25.02.2022  Heure 16:05:22;Date 02.03.2022  Heure 13:51:18
229;N         :    +   1.3075 g;N         :    +   1.5746 g;N         :    +   1.3313 g
230;Date 24.02.2022  Heure 15:14:20;Date 25.02.2022  Heure 16:05:32;Date 02.03.2022  Heure 13:51:28
230;N         :    +   1.3101 g;N         :    +   1.5923 g;N         :    +   1.3337 g
231;Date 24.02.2022  Heure 15:14:31;Date 25.02.2022  Heure 16:05:41;Date 02.03.2022  Heure 13:51:37
231;N         :    +   1.3034 g;N         :    +   1.5240 g;N         :    +   1.3227 g
232;Date 24.02.2022  Heure 15:14:40;Date 25.02.2022  Heure 16:05:50;Date 02.03.2022  Heure 13:51:48
232;N         :    +   1.3053 g;N         :    +   1.5310 g;N         :    +   1.3258 g
233;Date 24.02.2022  Heure 15:14:49;Date 25.02.2022  Heure 16:06:00;Date 02.03.2022  Heure 13:51:56
233;N         :    +   1.3008 g;N         :    +   1.5733 g;N         :    +   1.3241 g
234;Date 24.02.2022  Heure 15:14:58;Date 25.02.2022  Heure 16:06:17;Date 02.03.2022  Heure 13:52:04
234;N         :    +   1.3085 g;N         :    +   1.5372 g;N         :    +   1.3281 g
235;Date 24.02.2022  Heure 15:15:07;Date 25.02.2022  Heure 16:06:28;Date 02.03.2022  Heure 13:54:46
235;N         :    +   1.3036 g;N         :    +   1.5548 g;N         :    +   1.3252 g
236;Date 24.02.2022  Heure 15:15:17;Date 25.02.2022  Heure 16:06:38;Date 02.03.2022  Heure 13:54:54
236;N         :    +   1.3065 g;N         :    +   1.5878 g;N         :    +   1.3314 g
237;Date 24.02.2022  Heure 15:15:25;Date 25.02.2022  Heure 16:06:50;Date 02.03.2022  Heure 13:55:03
237;N         :    +   1.3068 g;N         :    +   1.4060 g;N         :    +   1.3151 g
238;Date 24.02.2022  Heure 15:15:34;Date 25.02.2022  Heure 16:07:01;Date 02.03.2022  Heure 13:55:12
238;N         :    +   1.3138 g;N         :    +   1.5539 g;N         :    +   1.3355 g
239;Date 24.02.2022  Heure 15:15:43;Date 25.02.2022  Heure 16:07:14;Date 02.03.2022  Heure 13:55:22
239;N         :    +   1.3135 g;N         :    +   1.5799 g;N         :    +   1.3373 g
240;Date 24.02.2022  Heure 15:15:51;Date 25.02.2022  Heure 16:07:31;Date 02.03.2022  Heure 13:55:47
240;N         :    +   1.3121 g;N         :    +   1.5376 g;N         :    +   1.3326 g
