CO2;Nitrate;Iron;K;Fe;Mn;Mg;Zn;Cu;Na
ECO2;0.5 mM;+Fe;36327.7763265307;77.9314591836738;141.838806122449;#VALUE!;36.9242448979593;5.50313265306124;832.74823469388
ECO2;0.5 mM;+Fe;39050.8667457621;61.3076813559312;144.764091525421;#VALUE!;61.1304915254227;5.31569491525415;681.64927796609
ECO2;0.5 mM;+Fe;37335.359416343;71.0045252918299;121.460463035021;9919.67805058381;37.4350505836582;5.4931867704281;857.344038910519
ECO2;0.5 mM;+Fe;41049.3844444436;68.7793333333319;133.139111111108;10883.1555555553;40.3284444444436;5.52444444444433;857.946222222204
ECO2;0.5 mM;+Fe;#VALUE!;61.4916198125837;174.971609103079;#VALUE!;42.5549959839357;6.70817670682731;747.193057563588
ECO2;0.5 mM;+Fe;#VALUE!;71.2451002277893;175.169234624143;#VALUE!;39.7675011389515;5.28631435079718;931.833047835976
ECO2;0.5 mM;+Fe;#VALUE!;80.163619246862;208.11849372385;#VALUE!;44.7220920502093;6.28447698744771;893.930313807533
ECO2;0.5 mM;+Fe;36201.7414814825;72.0552962962983;119.930962962966;9273.61335185211;37.478425925927;4.11053703703715;804.939870370393
ECO2;0.5 mM;+Fe;34613.3568000004;71.2742800000008;155.938640000002;#VALUE!;37.3806400000004;4.88180000000005;805.218040000009
ECO2;0.5 mM;+Fe;33446.6802610963;119.790438642296;136.555691906004;#VALUE!;34.3417284595297;5.00253524804172;906.540509138372
ECO2;0.5 mM;+Fe;38870.7391150442;93.8173805309734;153.111203539823;#VALUE!;43.9672212389381;5.72812389380531;1057.07107964602
ECO2;0.5 mM;+Fe;32467.6833136092;69.4677514792893;118.558295857987;#VALUE!;36.4319763313606;4.32243786982245;833.304272189342
ECO2;10 mM;-Fe;#VALUE!;43.5135678391954;86.3678391959788;5141.72140703511;88.2138693467326;26.3718592964821;828.867537688432
ECO2;10 mM;-Fe;#VALUE!;31.2624000000003;69.1825333333341;5817.9905333334;85.1032000000009;19.6837333333336;880.847066666676
ECO2;10 mM;-Fe;#VALUE!;24.4690965250965;79.8784555984556;6101.70288803089;86.9562934362934;23.8624247104247;788.066687258687
ECO2;10 mM;-Fe;#VALUE!;27.8559812030073;57.8851240601499;4596.03933834583;75.6655375939844;14.8170112781954;687.311763157889
ECO2;10 mM;-Fe;82918.248898677;216.779735682816;113.00220264317;7107.37731277521;75.6422907488974;22.600440528634;1040.54273127751
ECO2;10 mM;-Fe;91385.3679292929;28.0444949494949;99.4785858585859;7253.99964646465;79.6357828282828;24.340505050505;727.834015151515
ECO2;10 mM;-Fe;70764.2498659516;29.8073136729222;111.496225201072;6186.42359249328;80.8453083109918;24.8862949061662;790.596815013403
ECO2;10 mM;-Fe;81650.8600732619;29.9565714285721;114.065406593409;6874.45705494521;81.0363663003681;24.7717802197808;727.599032967049
ECO2;10 mM;-Fe;97871.4093333294;31.3913999999987;91.732646666663;6990.51598666639;90.686266666663;22.3227733333324;723.048579999971
ECO2;10 mM;-Fe;80120.6239041112;44.333962328768;116.488832191783;6649.01741095904;92.7961883561663;26.2055000000005;816.498763698647
ECO2;10 mM;-Fe;101448.598679243;36.6097547169804;78.6614999999985;6075.24037735838;65.3038867924516;20.2837830188675;698.0589716981
ECO2;10 mM;-Fe;73276.6269461091;106.17517964072;111.373667664673;6396.34568862287;74.511661676648;22.5267814371262;845.14812874253
ECO2;10 mM;-Fe;94250.8267027007;51.478454054053;90.5115675675656;7110.81502702687;91.3601135135116;22.6278918918914;769.065475675659
ECO2;10 mM;-Fe;76686.5380689658;35.4613586206898;100.983868965518;6398.52514482761;76.6829379310348;20.3407793103449;747.748648275865
ECO2;10 mM;-Fe;78838.5971631206;73.0882446808511;105.819875886525;6691.57285460993;79.5973758865248;22.8749468085106;697.592890070922
ECO2;10 mM;+Fe;70902.4152650182;132.330968197881;81.3207067137815;6114.02340636047;32.5282826855126;6.09905300353361;705.64195053004
ECO2;10 mM;+Fe;57373.7700803209;88.4698795180718;87.7326305220878;5241.20843373491;25.8037148594376;6.52991967871482;690.06506024096
ECO2;10 mM;+Fe;56460.4784057979;54.1348260869573;72.5583333333344;5397.5828695653;28.0138260869569;6.05704347826096;741.609260869576
ECO2;10 mM;+Fe;50978.754278846;102.526822115384;80.610769230769;4669.04292948717;28.8015560897435;7.05344230769229;745.397706730767
ECO2;10 mM;+Fe;65755.3869047605;78.5324999999984;64.8204761904749;5602.76409226179;25.8658630952376;5.92110119047607;765.380238095222
ECO2;10 mM;+Fe;71410.3358703069;60.864641638225;71.0684197952216;5872.90087713309;26.6730341296927;6.6235051194539;641.76394197952
ECO2;10 mM;+Fe;57516.9828539829;153.039048672568;78.3717367256646;5176.00752212395;32.8767699115048;7.52461283185849;733.013053097353
ECO2;10 mM;+Fe;61551.3206297232;74.4705768261968;67.0632015113354;5049.31674811086;24.0739697732999;6.08462972292195;726.716428211591
ECO2;10 mM;+Fe;62594.4292682939;123.752195121954;66.1434146341476;4755.35590243911;24.0392195121956;6.25873170731719;665.701463414647
ECO2;10 mM;+Fe;61751.4030958228;49.1507125307123;69.975093366093;4748.99358230956;24.9633882063881;6.07916707616705;657.584796068793
ECO2;10 mM;+Fe;65406.4286060598;46.305154545454;66.6730575757568;4685.41331818176;24.6642575757573;5.41022424242418;617.083812121205
ECO2;10 mM;+Fe;60988.7936363642;87.791418181819;69.0641727272733;4538.43461818186;28.1505090909093;6.67978181818188;651.636572727279
ECO2;10 mM;+Fe;72665.177469386;51.9831551020395;58.8286734693863;4301.55260408153;28.2377632653054;4.49237142857132;620.589024489781
ECO2;10 mM;+Fe;55346.4789427314;56.8644008810574;57.5564625550662;4173.36258149781;26.2983436123349;5.6518370044053;585.484176211455
ECO2;10 mM;+Fe;75928.6124999975;46.1832065217376;43.6174728260855;3986.00983695639;23.9468478260862;4.84638586956506;509.15559782607
